#$name,$network,$comentario
skype_104.40.189.177_32,104.40.189.177/32,
skype_104.41.151.83_32,104.41.151.83/32,
skype_104.41.207.112_32,104.41.207.112/32,
skype_104.41.208.54_32,104.41.208.54/32,
skype_104.41.210.140_32,104.41.210.140/32,
skype_104.42.228.150_32,104.42.228.150/32,
skype_104.42.229.230_32,104.42.229.230/32,
skype_104.43.12.164_32,104.43.12.164/32,
skype_104.44.195.0_24,104.44.195.0/24,
skype_104.44.200.0_23,104.44.200.0/23,
skype_104.45.18.178_32,104.45.18.178/32,
skype_104.45.231.95_32,104.45.231.95/32,
skype_104.45.231.155_32,104.45.231.155/32,
skype_104.46.62.41_32,104.46.62.41/32,
skype_104.46.96.162_32,104.46.96.162/32,
skype_104.46.97.194_32,104.46.97.194/32,
skype_104.46.101.116_32,104.46.101.116/32,
skype_104.46.105.95_32,104.46.105.95/32,
skype_104.47.151.128_32,104.47.151.128/32,
skype_104.208.28.54_32,104.208.28.54/32,
skype_104.208.31.113_32,104.208.31.113/32,
skype_104.208.152.137_32,104.208.152.137/32,
skype_104.209.188.207_32,104.209.188.207/32,
skype_104.210.1.218_32,104.210.1.218/32,
skype_104.210.9.95_32,104.210.9.95/32,
skype_104.210.80.193_32,104.210.80.193/32,
skype_104.211.162.59_32,104.211.162.59/32,
skype_104.211.165.113_32,104.211.165.113/32,
skype_104.211.165.216_32,104.211.165.216/32,
skype_111.221.76.128_25,111.221.76.128/25,
skype_111.221.77.0_26,111.221.77.0/26,
skype_111.221.101.75_32,111.221.101.75/32,
skype_111.221.122.192_26,111.221.122.192/26,
skype_131.253.128.0_19,131.253.128.0/19,
skype_131.253.160.0_20,131.253.160.0/20,
skype_132.245.0.0_24,132.245.0.0/24,
skype_132.245.1.0_25,132.245.1.0/25,
skype_132.245.112.0_24,132.245.112.0/24,
skype_132.245.113.0_25,132.245.113.0/25,
skype_134.170.0.0_25,134.170.0.0/25,
skype_134.170.54.0_26,134.170.54.0/26,
skype_134.170.54.128_25,134.170.54.128/25,
skype_134.170.113.192_26,134.170.113.192/26,
skype_134.170.115.128_25,134.170.115.128/25,
skype_137.116.66.252_32,137.116.66.252/32,
skype_137.116.132.4_32,137.116.132.4/32,
skype_137.116.157.126_32,137.116.157.126/32,
skype_137.116.159.19_32,137.116.159.19/32,
skype_137.116.159.228_32,137.116.159.228/32,
skype_137.116.248.105_32,137.116.248.105/32,
skype_137.117.109.221_32,137.117.109.221/32,
skype_137.117.128.25_32,137.117.128.25/32,
skype_157.55.40.128_25,157.55.40.128/25,
skype_157.55.238.0_25,157.55.238.0/25,
skype_157.56.176.68_32,157.56.176.68/32,
skype_168.61.145.101_32,168.61.145.101/32,
skype_168.61.152.29_32,168.61.152.29/32,
skype_168.61.155.249_32,168.61.155.249/32,
skype_168.63.14.15_32,168.63.14.15/32,
skype_168.63.204.74_32,168.63.204.74/32,
skype_168.63.219.57_32,168.63.219.57/32,
skype_168.63.245.120_32,168.63.245.120/32,
skype_191.233.80.151_32,191.233.80.151/32,
skype_191.233.95.169_32,191.233.95.169/32,
skype_191.234.20.241_32,191.234.20.241/32,
skype_191.234.23.27_32,191.234.23.27/32,
skype_191.237.44.60_32,191.237.44.60/32,
skype_207.46.5.0_24,207.46.5.0/24,
skype_207.46.155.141_32,207.46.155.141/32,
skype_207.46.156.136_32,207.46.156.136/32,
skype_207.46.230.50_32,207.46.230.50/32,
